Benchmark,Restriction,Year Decrease Factor,90% CI,n,RÂ²
GPQA,Pareto Restricted All License,5.481,"[2.486, 12.080]",51,0.8260
,Pareto Restricted Open License,4.596,"[2.174, 9.718]",34,0.7277
GPQA,All License (no restriction),3.098,"[1.787, 5.369]",133,0.6590
,Open License (no restriction),1.037,"[0.529, 2.033]",71,0.5016
AIME,Pareto Restricted All License,15.606,"[6.213, 39.201]",42,0.7354
,Pareto Restricted Open License,4.680,"[1.943, 11.273]",30,0.7539
AIME,All License (no restriction),7.352,"[3.831, 14.108]",106,0.6423
,Open License (no restriction),2.661,"[1.373, 5.157]",55,0.7087
SWE-Bench,Pareto Restricted All License,4.675,"[0.680, 32.156]",13,0.6281
,Pareto Restricted Open License,4.528,"[nan, nan]",3,1.0000
SWE-Bench,All License (no restriction),1.603,"[0.373, 6.881]",21,0.1628
,Open License (no restriction),0.248,"[0.000, 99266.244]",5,0.3222
