Benchmark,Sample Type,Price Threshold,N,Time Coef (logits/yr),Std Error,p-value,95% CI Lower,95% CI Upper,R²,Adj R²,Mean Score (%),Score Range
GPQA-D,All,All models,138,0.9640259385771177,0.12937410386999212,9.666489830806313e-12,0.7081807852634106,1.2198710918908249,0.2899071663237517,0.2846858954878969,52.0841304347826,13.2-86.2%
GPQA-D,Pareto,All models,53,1.2954785038858998,0.21606703473453295,2.0829826197221735e-07,0.8617058316525836,1.729251176119216,0.4134473561463521,0.4019463239139276,53.201698113207556,25.2-86.2%
GPQA-D,Frontier,All models,7,1.006764926593773,0.07570379859505244,4.298283215664611e-05,0.8121621170366613,1.2013677361508848,0.9725057811799852,0.9670069374159822,75.95714285714287,59.5-86.2%
SWE-Bench,All,All models,21,0.8298970011272078,0.4968252454303588,0.11123186474906244,-0.20997018839582204,1.8697641906502376,0.12804986560370424,0.08215775326705721,43.92857142857142,16.4-64.8%
SWE-Bench,Pareto,All models,13,1.0803966535298684,0.5733657552894247,0.08620772746631533,-0.18157286516190685,2.3423661722216433,0.24401794291232992,0.1752923013589054,49.43076923076923,22.0-64.8%
SWE-Bench,Frontier,All models,7,1.1051641871999567,0.3570563769256837,0.02699942057413729,0.18732155037668097,2.0230068240232324,0.6570720000288242,0.588486400034589,54.94285714285714,40.6-64.8%
AIME,All,All models,109,2.552639897453861,0.3441777564605882,2.988209679699594e-11,1.8703476366801413,3.234932158227581,0.33953241236155285,0.33335981808455795,27.52853211009175,0.6-91.4%
AIME,Pareto,All models,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,All models,8,3.606722891439513,0.7843548229268082,0.003698500646431846,1.687475779717192,5.5259700031618335,0.7789619325096241,0.7421222545945614,53.112500000000004,2.5-91.4%
GPQA-D,All,≤ $0.01,12,-0.10478647434796358,0.24850433488448453,0.682187833684428,-0.6584886377857896,0.4489156890898624,0.01746981951816995,-0.08078319853001292,22.87833333333333,13.2-27.5%
GPQA-D,Pareto,≤ $0.01,7,0.00015235851914540107,0.028788457177724765,0.995982001482234,-0.07385072657790775,0.07415544361619855,5.601757015027964e-06,-0.19999327789158206,26.13285714285714,25.2-27.5%
GPQA-D,All,≤ $0.05,36,0.4266702193192358,0.24622158069977218,0.09218148676375715,-0.07371223613340566,0.9270526747718772,0.08115165005053038,0.05412669858142838,34.625555555555565,13.2-67.0%
GPQA-D,Pareto,≤ $0.05,21,0.652734845314981,0.3030303247726999,0.044286835136973846,0.018485086350572,1.28698460427939,0.1962714776569623,0.15396997648101296,37.44857142857144,25.2-67.0%
GPQA-D,Frontier,≤ $0.05,6,1.3434203508389255,0.19072655766162458,0.0021415768084378506,0.8138785333880822,1.8729621682897688,0.9253921861617869,0.9067402327022336,48.51833333333334,30.6-67.0%
GPQA-D,All,≤ $0.10,55,0.4073808039161999,0.18435756226829678,0.03146563130264002,0.037606361689999035,0.7771552461424007,0.08435849247657556,0.06708223761764298,38.38799999999999,13.2-67.0%
GPQA-D,Pareto,≤ $0.10,29,0.596033473012409,0.26139214562062146,0.03071018528884073,0.059701091859759914,1.1323658541650583,0.16147599490094788,0.13041955026764973,39.710344827586205,25.2-67.0%
GPQA-D,Frontier,≤ $0.10,10,1.272019458977257,0.10515013899930666,2.0160204978747487e-06,1.0295428036275631,1.514496114326951,0.9481669242468613,0.9416877897777189,48.503,30.6-67.0%
GPQA-D,All,≤ $0.50,73,0.5166018212626035,0.16513008841306603,0.0025488129488979716,0.18734177663960871,0.8458618658855982,0.12114814385760597,0.1087699487006708,41.30972602739725,13.2-70.7%
GPQA-D,Pareto,≤ $0.50,37,0.7543192172604665,0.24206221462223,0.003647791662688249,0.2629067962260414,1.2457316382948915,0.21719189272345252,0.19482594680126541,43.107837837837835,25.2-70.7%
GPQA-D,Frontier,≤ $0.50,10,1.1717490254255827,0.06944389539026663,1.5426883126501423e-07,1.0116111154909424,1.331886935360223,0.9726690926791715,0.9692527292640679,56.458000000000006,36.5-70.7%
GPQA-D,All,≤ $1.00,81,0.5387882306472095,0.15090994842004293,0.0006105427124591944,0.2384094920887172,0.8391669692057018,0.13893434974175034,0.12803478454860795,42.769999999999996,13.2-70.7%
GPQA-D,Pareto,≤ $1.00,38,0.6753728100781753,0.2580160853230249,0.01287029986447763,0.1520919352780885,1.198653684878262,0.15989183479279634,0.13655549687037405,43.83394736842106,25.2-70.7%
GPQA-D,Frontier,≤ $1.00,5,6.723409878165736,0.9742202578445863,0.006234245303292862,3.62300621805515,9.823813538276323,0.9407445754962561,0.9209927673283415,40.879999999999995,26.1-70.7%
GPQA-D,All,≤ $2.00,101,0.5815240332477951,0.1326508906754228,2.908468230700123e-05,0.31831588733689614,0.8447321791586941,0.1625662100556765,0.1541072828845217,45.300792079207916,13.2-76.3%
GPQA-D,Pareto,≤ $2.00,42,0.8327437794978301,0.21766443381057282,0.0004475819473095388,0.3928275489783326,1.2726600100173275,0.2678934759161107,0.2495908128140134,46.32833333333333,25.2-76.3%
GPQA-D,Frontier,≤ $2.00,6,0.9131623194074616,0.4373979923992571,0.10510183817877117,-0.3012491956127996,2.127573834427723,0.5214483059999162,0.4018103824998953,57.47666666666667,26.1-76.3%
GPQA-D,All,≤ $5.00,115,0.7104222682796157,0.12550160016889977,1.1593870730131073e-07,0.46178096295491,0.9590635736043215,0.22092126152121938,0.21402675941078764,47.413304347826084,13.2-76.3%
GPQA-D,Pareto,≤ $5.00,45,0.9768257731911828,0.20875226768620916,2.871739787102534e-05,0.5558367033772862,1.3978148430050794,0.33740500017547304,0.32199581413304224,48.25311111111112,25.2-76.3%
GPQA-D,Frontier,≤ $5.00,5,0.939718815544061,0.40814796388951674,0.10475787283541504,-0.35919016414542626,2.2386277952335485,0.6385992326078337,0.5181323101437783,64.278,40.6-76.3%
GPQA-D,All,≤ $10.00,120,0.7587787478943833,0.1271026507882577,2.5622279409276416e-08,0.5070808957334643,1.0104766000553023,0.23196403346874905,0.22545525409136558,48.44075000000001,13.2-85.4%
GPQA-D,Pareto,≤ $10.00,48,1.1220957355371992,0.21396259208952537,3.85478521858218e-06,0.6914113755868007,1.5527800954875977,0.3741773894588877,0.36057255009929823,50.27895833333333,25.2-85.4%
GPQA-D,Frontier,≤ $10.00,9,1.621932201495486,0.32048130108642975,0.001461839575764623,0.8641143447645052,2.379750058226467,0.7853614920405623,0.7546988480463569,58.166666666666664,30.6-85.4%
GPQA-D,All,≤ $20.00,126,0.8662693339883413,0.12708909063769522,3.6244118817307935e-10,0.6147244238549581,1.1178142441217245,0.2725612368393552,0.26669479520096284,49.824523809523804,13.2-86.2%
GPQA-D,Pareto,≤ $20.00,50,1.2397362838576091,0.210036564625994,3.531818577595658e-07,0.8174294666485974,1.662043101066621,0.42056453510275627,0.408492962917397,51.62780000000001,25.2-86.2%
GPQA-D,Frontier,≤ $20.00,8,1.3953005030668695,0.2724965746960684,0.002177309581169906,0.7285254050466493,2.0620756010870895,0.8137735328098974,0.7827357882782137,66.8575,32.9-86.2%
GPQA-D,All,≤ $50.00,135,0.9481842495552885,0.12807678120063634,1.3591794356671016e-11,0.6948533375034147,1.2015151616071622,0.291830292050981,0.2865057077806876,51.49785185185185,13.2-86.2%
GPQA-D,Pareto,≤ $50.00,51,1.2642034480748616,0.21180495983911732,2.615017296037081e-07,0.8385654456810184,1.689841450468705,0.4209787150853904,0.4091619541687658,52.17823529411765,25.2-86.2%
GPQA-D,Frontier,≤ $50.00,7,1.1664590366358727,0.17672922657819165,0.0012000714878790397,0.7121620969679188,1.6207559763038266,0.897041903475477,0.8764502841705724,71.72285714285714,47.2-86.2%
SWE-Bench,All,≤ $50.00,5,1.6208350877768432,1.0282578736902164,0.2130483557860523,-1.651540383228038,4.893210558781725,0.4530236450050167,0.2706981933400222,35.839999999999996,22.0-57.8%
SWE-Bench,Pareto,≤ $50.00,5,1.6208350877768432,1.0282578736902164,0.2130483557860523,-1.651540383228038,4.893210558781725,0.4530236450050167,0.2706981933400222,35.839999999999996,22.0-57.8%
SWE-Bench,Frontier,≤ $50.00,4,2.881852375335183,0.7797636895032785,0.0660419985411338,-0.4731999918240333,6.236904742494399,0.8722775484890397,0.8084163227335596,36.474999999999994,22.0-57.8%
AIME,All,≤ $0.01,16,1.6385356560233093,0.7049502469387581,0.03566434629512227,0.12656775074531046,3.150503561301308,0.2784435381162653,0.2269037908388557,4.3,0.6-19.7%
AIME,Pareto,≤ $0.01,11,1.379339896348424,0.891738026795552,0.15631532947277416,-0.6379116683565142,3.3965914610533625,0.21001272445650931,0.12223636050723252,4.818181818181817,0.6-19.7%
AIME,Frontier,≤ $0.01,4,3.5526785731414665,0.31392800652099445,0.007717875772782046,2.2019553789558417,4.903401767327091,0.98462381406088,0.9769357210913199,9.725,0.8-19.7%
AIME,All,≤ $0.05,41,1.034073816420387,0.4062520288245128,0.014982191207991269,0.2123515264705328,1.8557961063702413,0.1424624859074688,0.12047434452048089,6.2073170731707314,0.6-31.1%
AIME,Pareto,≤ $0.05,23,1.3126794663062842,0.6394537898879622,0.05275957885861082,-0.017137488208295526,2.642496420820864,0.16713082161964354,0.12747038455391224,7.930434782608699,0.6-31.1%
AIME,Frontier,≤ $0.05,7,2.8413574411922604,0.4521057230297562,0.001498774975985162,1.6791826817847466,4.003532200599774,0.8876346248431125,0.865161549811735,11.685714285714287,1.8-31.1%
AIME,All,≤ $0.10,46,1.3045158851930416,0.43611112285460846,0.004539471417046803,0.4255916693376032,2.18344010104848,0.1689890249561029,0.1501024118869233,8.2,0.6-70.8%
AIME,Pareto,≤ $0.10,25,1.7026521692161138,0.6805531178782432,0.01991202261943803,0.2948207826228795,3.110483555809348,0.21392593849531139,0.17974880538641191,10.516000000000002,0.6-70.8%
AIME,Frontier,≤ $0.10,9,3.505922493856272,0.575870849280191,0.0004969097795466393,2.144204317862999,4.8676406698495445,0.8411408195745456,0.8184466509423378,18.033333333333335,1.8-70.8%
AIME,All,≤ $0.50,73,1.9084917803689425,0.3480371614702423,6.03346069549815e-07,1.214525390491536,2.602458170246349,0.2975146109620129,0.2876204505530272,13.701369863013696,0.6-74.2%
AIME,Pareto,≤ $0.50,34,2.2048302475419668,0.6203019614544946,0.001201569998171781,0.9413164992416043,3.4683439958423294,0.28305922359907265,0.26065482433654363,15.767647058823528,0.6-74.2%
AIME,Frontier,≤ $0.50,9,3.7604760555508028,0.28030656931695175,2.998705800116852e-06,3.097656343863165,4.423295767238441,0.9625624140979943,0.9572141875405649,27.622222222222224,2.5-74.2%
AIME,All,≤ $1.00,85,2.387168648138852,0.33617661827551615,3.88127308070807e-10,1.7185268753535519,3.0558104209241517,0.37791971112723344,0.37042476788780254,19.098823529411767,0.6-81.1%
AIME,Pareto,≤ $1.00,36,2.358818756518774,0.588762197179154,0.000317931365061197,1.1623100140076026,3.5553274990299455,0.3206965126706044,0.30071699833738685,17.38055555555555,0.6-81.1%
AIME,Frontier,≤ $1.00,8,3.4934876618498762,0.2917102501856988,2.0545313026198997e-05,2.779698393570026,4.207276930129726,0.9598452059839079,0.9531527403145592,40.8375,2.5-81.1%
AIME,All,≤ $2.00,94,2.258744202543689,0.3381161814439786,1.7875758651086926e-09,1.5872162810380375,2.9302721240493406,0.32663610571093926,0.31931693294692776,21.607553191489362,0.6-86.7%
AIME,Pareto,≤ $2.00,39,2.0796997618732527,0.645125717266834,0.002643247249445313,0.7725508958409455,3.38684862790556,0.2192828116811706,0.198182347132013,20.294871794871792,0.6-86.7%
AIME,Frontier,≤ $2.00,5,5.5197694110163305,2.0428123733620427,0.07365844456150761,-0.9813712789786786,12.020910101011339,0.7087673573475135,0.6116898097966847,42.480000000000004,1.9-86.7%
AIME,All,≤ $5.00,103,2.372200331674677,0.34783496223221716,6.810831898462766e-10,1.6821893332071969,3.0622113301421567,0.3153055888617139,0.30852643627618626,25.181650485436897,0.6-87.2%
AIME,Pareto,≤ $5.00,41,2.34611133593942,0.6466167128401681,0.0008171792947673229,1.0382055821335945,3.6540170897452455,0.25236468676761326,0.23319455053088545,23.21951219512195,0.6-87.2%
AIME,Frontier,≤ $5.00,5,2.19971686678702,0.6148277798811875,0.037345236544359395,0.2430604703180086,4.1563732632560315,0.8101324744365095,0.7468432992486793,65.25999999999999,32.2-87.2%
AIME,All,≤ $10.00,106,2.494346904405557,0.34500828483136736,8.443978849470568e-11,1.8101825286581237,3.17851128015299,0.33448629226516047,0.32808712199847934,26.48405660377359,0.6-91.4%
AIME,Pareto,≤ $10.00,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,≤ $10.00,9,3.668826217414899,0.7784904878792333,0.0021758899289014977,1.8279887301413655,5.509663704688433,0.7603556658115896,0.7261207609275311,52.099999999999994,1.8-91.4%
AIME,All,≤ $20.00,108,2.529157766447049,0.3445961305237797,4.5575987428492226e-11,1.8459624216746415,3.2123531112194565,0.3369530879698248,0.33069792842237034,27.145462962962966,0.6-91.4%
AIME,Pareto,≤ $20.00,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,≤ $20.00,8,3.606722891439513,0.7843548229268082,0.003698500646431846,1.687475779717192,5.5259700031618335,0.7789619325096241,0.7421222545945614,53.112500000000004,2.5-91.4%
AIME,All,≤ $50.00,109,2.552639897453861,0.3441777564605882,2.988209679699594e-11,1.8703476366801413,3.234932158227581,0.33953241236155285,0.33335981808455795,27.52853211009175,0.6-91.4%
AIME,Pareto,≤ $50.00,42,2.586252676312573,0.6349564889622243,0.00021320845973127334,1.3029577425557446,3.8695476100694015,0.2931649566774076,0.27549408059434277,24.842857142857138,0.6-91.4%
AIME,Frontier,≤ $50.00,8,3.606722891439513,0.7843548229268082,0.003698500646431846,1.687475779717192,5.5259700031618335,0.7789619325096241,0.7421222545945614,53.112500000000004,2.5-91.4%
